17.31844776;1.50678791
18.0349908;1.573031453
18.72538263;1.655688858
19.38439302;1.740789097
20.01202195;1.827597654
20.60826945;1.912817364
21.23589839;1.999397405
21.92629022;2.082789326
22.61668205;2.172057382
23.27569244;2.262115609
23.90332138;2.350540103
24.49956887;2.437959283
25.06443491;2.525360666
25.59791951;2.61863569
26.13140411;2.711349624
26.69627015;2.807279563
27.2611362;2.89916966
27.7946208;2.983467256
28.29672395;3.072123551
28.7988271;3.165829649
29.30093025;3.254485945
29.8030334;3.341122319
30.30513655;3.432303515
30.8072397;3.522979732
31.30934286;3.608606145
31.81144601;3.693222598
32.28216771;3.781356117
32.75288941;3.872014537
33.28637401;3.96371851
33.81985861;4.051887622
34.32196176;4.142058858
34.79268347;4.230048096
35.23202372;4.315133936
35.70274543;4.408966518
36.26761147;4.500284304
36.86385896;4.584740933
37.39734356;4.681101947
37.89944671;4.774303064
38.43293131;4.866175365
38.99779736;4.959412076
39.59404485;5.039503431
